country,year,average_temperature_c,average_uncertainty_c,months_observed,baseline_temperature_c,baseline_years,temperature_anomaly_c
Timor Leste,1894,25.0515,0.8388333333333332,12,26.174174999999998,30,-1.1226749999999974
Timor Leste,1895,25.345333333333333,0.6932499999999999,12,26.174174999999998,30,-0.8288416666666656
Timor Leste,1896,24.973833333333335,0.8291666666666666,12,26.174174999999998,30,-1.200341666666663
Timor Leste,1897,26.161,0.8321666666666667,12,26.174174999999998,30,-0.013174999999996828
Timor Leste,1898,25.427583333333335,0.8195,12,26.174174999999998,30,-0.7465916666666637
Timor Leste,1899,25.167083333333334,0.7995,12,26.174174999999998,30,-1.007091666666664
Timor Leste,1900,26.282,0.8455833333333334,12,26.174174999999998,30,0.10782500000000184
Timor Leste,1901,25.691666666666666,0.8271666666666667,12,26.174174999999998,30,-0.48250833333333176
Timor Leste,1902,25.5445,0.81675,12,26.174174999999998,30,-0.6296749999999989
Timor Leste,1903,25.6665,0.73075,12,26.174174999999998,30,-0.507674999999999
Timor Leste,1904,25.148666666666667,0.7345833333333333,12,26.174174999999998,30,-1.025508333333331
Timor Leste,1905,26.1065,0.7648333333333333,12,26.174174999999998,30,-0.06767499999999771
Timor Leste,1906,26.46258333333334,0.8423333333333334,12,26.174174999999998,30,0.28840833333334004
Timor Leste,1907,25.448666666666668,0.6325833333333334,12,26.174174999999998,30,-0.7255083333333303
Timor Leste,1908,25.520416666666666,0.7005,12,26.174174999999998,30,-0.6537583333333323
Timor Leste,1909,25.7135,0.6515000000000001,12,26.174174999999998,30,-0.4606749999999984
Timor Leste,1910,25.805333333333333,0.7404999999999999,12,26.174174999999998,30,-0.36884166666666474
Timor Leste,1911,25.577916666666667,0.6826666666666666,12,26.174174999999998,30,-0.5962583333333313
Timor Leste,1912,25.5665,0.6774166666666667,12,26.174174999999998,30,-0.6076749999999969
Timor Leste,1913,25.193833333333334,0.6406666666666666,12,26.174174999999998,30,-0.9803416666666642
Timor Leste,1914,25.266000000000002,0.73775,12,26.174174999999998,30,-0.9081749999999964
Timor Leste,1915,25.999499999999998,0.709,12,26.174174999999998,30,-0.17467500000000058
